Democrat,population,population_change,age65plus,Black,Hispanic,Edu_bachelors,income,Poverty,Density
1,668347,6.7,11.1,0.281,0.099,35.9,47335,18.5,1243.3
0,3481,-5.1,25.8,0.009,0.03,16.3,39529,15.2,5.7
0,21853,5.9,10.5,0.036,0.459,18.8,49901,12.8,10.1
0,7594,-3.7,15,0.026,0.011,5.6,22920,37.2,37.8
1,27543,5.1,14.6,0.116,0.164,28.6,44200,20.1,2838
0,74250,0.4,11.1,0.211,0.076,15.1,38904,20.5,103.1
0,586301,1.7,21.9,0.035,0.089,25.4,61136,10.4,917
0,23714,-1.3,21.6,0.006,0.017,14.4,41739,13.6,23
1,39787,-2.1,15.5,0.373,0.047,20.1,46053,18.4,179.2
0,1955,-1,23.7,0.002,0.013,20.3,55735,6.2,2.8
0,14673,-1.5,18,0.177,0.039,18,45729,16.4,33.9
1,171387,3.7,14.4,0.075,0.063,31.6,52735,13.1,360.7
1,63379,2.3,17,0.008,0.049,21,52140,10.8,74.6
0,2513,-1.6,18.9,0.009,0.065,20,44650,12.3,3.5
0,61149,2.4,16.1,0.016,0.017,27.2,62351,9,155.1
1,749857,0.7,15.5,0.161,0.081,35.8,52394,15,1132.6
0,19510,1.1,33.9,0.013,0.098,25.4,44094,14.1,20.7
0,52027,3,11.3,0.195,0.062,19.5,51990,15.5,82.4
0,36872,0.1,18,0.019,0.019,17.8,50513,11.8,50.4
0,7513,-1.5,20.7,0.003,0.011,10.2,31679,22,27.3
0,12244,1.3,22.9,0.005,0.186,32.9,48933,9.7,8.9
0,1117,5.3,21.2,0.004,0.042,18.8,46917,8.6,1.5
0,458198,3.6,10.4,0.022,0.629,13.3,42708,26.2,91.7
0,21666,-1.1,16.6,0.424,0.012,14.7,34129,21.9,51.9
0,3769,-2.2,26.3,0.005,0.017,16.7,45556,15.4,4.3
1,412529,3.5,12.1,0.057,0.066,38.7,73732,7.6,709
1,468161,1,15.3,0.107,0.232,24.5,49094,17.7,751
1,381015,8.8,14.5,0.286,0.051,39.4,50792,18.2,382.3
0,11930,2.2,19.2,0.009,0.091,21.2,52589,10.2,3.7
0,217919,14.7,18.2,0.057,0.061,41.4,64876,9.6,316.4
0,61213,-0.9,19.3,0.012,0.011,16,42834,15.3,97.8
0,36516,-1,17.9,0.012,0.009,12.3,41274,16.9,65.4
0,7241,-1.6,20,0.01,0.028,15.9,48896,11.4,10.8
0,26712,-0.3,19.2,0.097,0.036,10.4,35625,21.2,46.6
0,33875,-0.1,26.4,0.018,0.066,20.5,37892,21.3,65.8
1,76115,-1.3,17.3,0.008,0.017,30.4,55155,11.4,109.1
0,78600,-2.1,17.1,0.015,0.02,17.2,42603,17.9,61.4
0,67857,0.5,17.3,0.185,0.056,13.3,38070,19.8,84.7
0,5511,1.3,24.3,0.005,0.018,21.8,41826,10.9,7.7
1,271804,3.6,13.5,0.014,0.332,37,66519,14.6,589.4
0,22539,-1.6,19.6,0.202,0.029,11.1,35213,24.5,39.5
0,56876,-2.8,18.9,0.017,0.118,16.2,47667,12,85.5
0,4031,2.2,14.8,0.066,0.033,20.5,39416,18.1,529.1
0,339167,2.4,27.9,0.132,0.119,17.4,39453,18.1,209.1
0,48320,4.7,7.1,0.009,0.082,18.8,79488,7.7,9.6
0,2348,-1.3,24.4,0.005,0.151,15,40221,18.9,4.3
0,197204,2.3,13.7,0.253,0.031,19.9,43499,17.4,181.2
1,998691,10.8,10,0.213,0.1,48,66006,11,1078.8
0,3209,4.2,28.9,0.004,0.021,26.5,45236,15.1,1.8
0,32726,-1.3,18,0.003,0.013,12.1,43980,14,61.1
0,12375,-0.6,19.8,0.005,0.012,20.7,56827,7,24.8
0,8723,-3,19.4,0.305,0.033,12.8,33694,26.5,14.6
1,49548,-2.7,12.1,0.518,0.023,13.9,37751,26.3,83.5
0,20357,-0.7,27.5,0.045,0.056,26.9,44745,16.7,86.3
0,46467,0.5,15.7,0.079,0.023,16.4,41940,17.7,105.9
1,10163,-2.8,17.2,0.604,0.008,10.4,29003,33.3,13.6
0,11576,18.8,13,0.005,0.048,17.7,58112,14.2,4.7
0,64715,-2.1,17.2,0.147,0.08,20.4,59718,12.4,199.1
0,26094,-3.5,11.8,0.032,0.162,16.9,42842,16.3,8.8
1,2662874,6.6,15.2,0.189,0.662,26.3,43100,19.9,1315.5
0,25377,0.7,20.6,0.188,0.036,15.5,35615,25.4,108.5
0,9800,0.8,16.3,0.013,0.042,27.5,54206,15.4,17.3
0,24833,1.1,23.8,0.069,0.199,16.8,48015,11.6,25.8
1,1001876,0.3,16.5,0.239,0.027,40.6,58910,10.9,1967.2
0,35104,3.5,18.7,0.03,0.068,30.6,55481,8.8,88.5
0,13803,2.3,19.1,0.017,0.056,19,44151,14.5,32.4
0,117074,-0.5,16,0.071,0.021,22.5,37474,22.3,300.1
0,6573,-4.2,23.9,0.005,0.027,18.3,46817,9.7,14
1,934243,3.4,11.3,0.278,0.098,27.4,42334,20.4,2279.6
0,5630,-13.4,16.9,0.072,0.318,8.8,37340,19.1,4.3
0,25611,-1.5,15.4,0.014,0.039,20.2,49543,13.1,45.5
1,371537,1.1,13.8,0.212,0.166,38.8,73480,11.2,1632.2
0,54362,3.4,11.8,0.049,0.04,25.6,47223,17.6,63.4
0,6125,-2.9,23.3,0.004,0.013,14.7,35916,15.9,9.5
0,16513,-2.4,16.3,0.052,0.029,21.6,45212,17.1,39.3
0,3043,-1.1,27.3,0.003,0.024,14.7,39884,12.5,3.4
1,22976,-4.1,18,0.588,0.019,15.5,36120,22.7,34.9
0,8352,-1.8,18.7,0.003,0.014,16,52317,7.1,23.3
1,267542,3.1,8.3,0.683,0.131,18,40606,24,1832.5
0,11525,-0.7,17.6,0.163,0.031,9.5,33848,25,32.3
0,5234,1.2,21.1,0.002,0.01,14.6,47806,8.7,15.7
0,23034,-1.7,15.2,0.299,0.026,9.7,46116,18.7,69.2
1,23865,1.5,12.3,0.006,0.07,48,62002,9.1,10
0,15543,-2,19.6,0.022,0.008,9.2,39002,18.4,39.4
0,61915,9.3,12.6,0.015,0.026,41,67255,7.5,133.9
0,2983,0.6,17.1,0.009,0.014,27.4,54620,10.2,2.1
0,9940,-6.2,21.4,0.426,0.039,14.5,28983,27.3,22.6
0,27016,-1.1,18.8,0.009,0.006,10,38411,19,63.4
0,78171,2.4,18,0.021,0.06,23.4,52195,10.4,89.9
0,14632,-1.4,19.7,0.012,0.012,11.8,48461,11.1,33.9
0,5956,-1,23.3,0.005,0.019,18.3,50030,10.1,11
0,25716,-4.2,15.5,0.019,0.006,10.7,35955,22.9,63.4
0,13923,-0.7,19.8,0.03,0.036,9.5,32723,15.7,24.1
0,29867,-0.3,19,0.012,0.017,13.3,37965,15,36.4
0,5782,-3.6,19.7,0.006,0.12,16.5,47325,11.2,12.6
0,5676,-2.3,17.7,0.296,0.08,10.7,42279,25.6,9.5
0,2294,-7.3,22.4,0.005,0.213,18.5,38301,20,1.3
0,71065,-0.1,15.7,0.021,0.142,10.7,37851,19.9,91.5
0,1148,-2.6,30,0.003,0.021,16.9,38036,21.5,0.7
0,3030,-0.2,19.3,0.016,0.197,22.3,46551,12.9,4.9
0,91126,3,10.2,0.021,0.025,25.1,73098,7.8,204.4
0,10888,-1,16.7,0.245,0.112,14.6,35070,25.9,45.3
0,35882,-2.1,17.4,0.007,0.054,17.7,55170,8.5,74.6
0,6565,-1.9,22.7,0.009,0.015,6.7,34496,24.4,8.3
0,33389,1.5,14.1,0.369,0.022,23,33090,27.6,48.9
1,3145515,4.5,13.1,0.021,0.343,36.8,75422,12.4,3807.7
1,446042,1.3,12.4,0.462,0.039,34.2,48506,19.2,966.6
0,115290,-0.2,16.2,0.018,0.06,22.4,52920,9.5,225.9
0,45507,-0.8,16.5,0.018,0.014,14.8,47542,15.9,100
0,753363,13.7,8.7,0.096,0.19,40.5,74155,8.7,754.3
1,18185,-3.2,16.1,0.499,0.042,11.4,34542,21.1,35.2
1,945438,3.1,14.4,0.122,0.187,44.8,82283,9.1,1467.2
0,35812,-0.7,15,0.005,0.008,10.2,41446,19.6,88.4
0,51675,0.4,25.3,0.137,0.035,27.6,57952,10.9,109.9
0,47107,0.1,16.1,0.009,0.094,16.6,45709,15.2,106.1
0,25141,1.6,18,0.006,0.019,14.5,35507,20.9,41.8
0,38821,-2.9,18,0.011,0.007,18.5,42389,18.3,66.6
1,36445,-1.8,21.2,0.01,0.018,32.3,50221,13.9,55
0,25642,-1.4,19.5,0.037,0.022,12,36082,21.4,22.1
0,103463,7.6,10.8,0.039,0.02,38.1,44173,22.4,267.1
1,554194,1.1,15.7,0.047,0.069,25.3,55298,12.4,991.3
0,39935,-3.7,15.9,0.054,0.012,13.1,36218,21.9,102.8
0,5505,1.7,16.8,0.005,0.032,13.3,40282,26.2,9.7
0,19972,-0.1,17.5,0.063,0.069,15.8,40933,17.2,69
0,16059,-0.5,24.7,0.006,0.039,20.9,41500,18,5.3
1,1764804,-3.1,13.8,0.393,0.057,21.3,41184,24.5,2974.4
0,9326,1,13.6,0.003,0.041,22.3,48789,17.3,1.8
1,24308,-1.4,17.5,0.598,0.038,15.4,33406,26,69.9
0,3053,-0.9,17.4,0.099,0.015,9.6,37760,21.4,21.4
0,23003,3.4,15.5,0.008,0.05,8.4,35306,21.2,72.4
0,19393,-2.1,18.3,0.049,0.022,17.1,46216,14.4,44.7
0,155792,3,16.1,0.195,0.121,21.7,43043,18.3,356.5
0,2361,-1.4,27.7,0,0.01,16.4,41694,14.2,1.4
0,19204,2.9,16.4,0.03,0.019,13.9,32524,19.1,46
0,32578,-0.1,19.7,0.283,0.046,18,46361,16.5,60.3
0,17875,0.5,14.3,0.198,0.017,13.6,42963,18,39.9
0,104193,2.6,16.1,0.267,0.033,19.7,40948,18,175.1
0,124456,1.5,14.5,0.319,0.111,16.4,41731,22.1,221.7
1,7474,8.5,13.2,0.011,0.844,5.1,26756,21.7,4.6
0,58598,0.8,17.4,0.01,0.05,18.1,42268,15,93
0,16437,-0.7,23.3,0.006,0.021,22,39904,18.8,13.2
0,87750,1.1,15,0.157,0.212,15,41354,19.3,108.8
0,34791,1.2,14.4,0.004,0.044,14.7,46695,18.1,101.4
0,20088,-0.8,24.6,0.032,0.025,13,36096,20.7,32.7
1,31933,-3.4,17.1,0.565,0.027,13.6,29149,27.4,67.6
1,507022,2.4,16.2,0.1,0.036,33.5,75092,7.6,750.9
0,53921,5.4,24.1,0.008,0.115,24.1,55754,12.1,121.7
1,19425,-9.4,16.8,0.815,0.015,19.6,30724,27.3,35.2
0,14138,-2.1,17.7,0.201,0.036,7.5,37246,16.1,15.5
0,60179,-1.3,16.9,0.032,0.095,13.7,46140,14.3,149.2
0,14843,-1.4,19.7,0.03,0.008,10.5,37865,20.2,36.2
1,552939,3.1,13,0.235,0.3,31.8,68507,10.8,5216.1
0,235644,6.3,11.3,0.261,0.045,28.3,51462,16.7,824.6
0,11148,-3.1,18.3,0.276,0.143,10.8,30409,31.3,17.7
0,72952,-2.8,19.2,0.082,0.016,16.8,39293,17.4,177
0,28787,0.4,15.4,0.249,0.015,17.8,51497,16.6,72.8
0,9478,-0.6,18.6,0.009,0.013,10.3,38833,18.8,37.8
0,116998,-1.2,14.7,0.029,0.109,22.3,59333,11.4,230.9
0,205175,-2.4,19.4,0.086,0.016,17,42880,17.4,340.1
0,20998,0.1,24.2,0.003,0.074,14.5,38795,19.5,7
0,8941,-4.7,19.1,0.002,0.005,8.1,31613,24.8,27.5
0,15006,0.9,21,0.003,0.011,15,52026,9.8,25.6
0,12276,-3.2,18.3,0.385,0.017,13.2,32930,22.2,27.1
0,329692,7.6,9.1,0.014,0.091,34.1,69707,7.9,1025.8
0,11948,-1.8,22.4,0.005,0.023,18.2,48783,10.8,20.6
1,16272,-3.9,17,0.536,0.033,8.8,26968,31.5,32.2
0,9436,-3.5,21.4,0.008,0.04,17,48026,9.8,13.2
1,44614,-1.8,16.4,0.509,0.072,11.4,34987,28,179.2
0,15679,0.3,15.7,0.004,0.011,17.9,50759,9.7,9.3
0,13546,-1,22.2,0.004,0.012,10.5,32130,22.6,16.8
0,120460,5.9,12,0.094,0.051,28.4,44135,19.1,210.1
0,26395,-1,19,0.024,0.029,12.4,45297,13.6,34.8
0,1886,-6.1,23.3,0.004,0.065,22.2,47431,8.1,2.2
0,4715,-2.5,26.8,0.01,0.014,24.2,51522,9.4,2.8
0,12013,-1.2,19.3,0.018,0.01,9.8,37646,16.1,40.2
0,66342,1.8,14.6,0.134,0.058,42,82073,5.7,624.8
0,55713,4.1,14.1,0.068,0.055,27.6,65304,11.2,255.2
1,836297,3.3,13.4,0.112,0.199,40.1,79596,8.5,2621.6
0,3761,3.1,18.3,0.006,0.069,19.7,53885,13.2,3.2
0,13417,-3.7,21.1,0.052,0.018,12.7,33784,19,38.6
1,6994,0.3,17.9,0.007,0.018,30.3,59509,6.9,85.2
0,14532,-0.6,17.3,0.136,0.058,7.8,32780,23.5,25.8
0,7111,-7,21.5,0.371,0.02,10.7,29732,24.1,14.5
0,18411,-0.5,18.4,0.005,0.018,19.5,58088,8,31.9
0,150381,2.9,14.4,0.071,0.021,26,58786,11.9,289.8
0,32641,2.6,17.6,0.022,0.045,12.6,36741,22.6,100.9
0,18518,-3.7,17.9,0.389,0.05,9.7,33833,22.5,27.6
0,34884,-1,17.4,0.054,0.031,19.2,47618,12.3,108.9
0,21660,-1.5,16.1,0.037,0.012,7.4,37631,20.8,42.1
0,114262,3.7,14.3,0.074,0.052,18.9,50496,12.2,295.6
0,4363,-1.8,20.8,0.01,0.206,16.8,43011,19.9,6.5
0,1970,-3.6,20.9,0.007,0.041,18,45893,8,4.5
0,8072,-2.4,17.2,0.025,0.193,13.5,44157,13.8,3.8
0,8322,-2.5,20.1,0.008,0.139,23.6,47104,12.1,3.8
0,16913,-1.3,16.9,0.346,0.021,11.9,38648,23,29.6
0,3877,3.2,15.2,0.005,0.023,19.4,47596,17,2.3
0,12206,5.3,16,0.015,0.013,12,30797,28,41.6
0,35286,-1.6,18.6,0.031,0.034,15.8,42469,15.1,69.3
0,8707,-1.5,20.8,0.028,0.012,13.1,40657,14.7,13.6
0,86,4.9,15.1,0,0.209,7.9,68750,12,0.1
0,19268,2.9,17.5,0.021,0.075,13.3,37482,19,61.5
0,10231,-2.7,20.1,0.005,0.016,13.4,42167,13.2,18.1
0,822,4.8,26,0.019,0.192,13.9,30284,22.3,0.2
0,29679,-1.4,20,0.011,0.01,18.3,45206,13.9,46.5
0,39323,0.4,17.6,0.034,0.112,16.6,46004,16.3,55.1
0,18488,-1.8,19,0.012,0.41,15.5,33848,25.2,14.9
0,13931,8.3,18.2,0.06,0.022,9.3,33443,22.4,31.7
0,52066,-0.7,19.5,0.004,0.03,16.6,50822,10.6,70.1
1,58998,-0.9,17,0.009,0.019,38.1,57281,9.6,86.6
0,20448,-7.5,18.1,0.09,0.006,5.8,22252,36.3,41.5
0,14326,-0.5,12.9,0.272,0.01,7.8,36888,18.2,20.2
0,61286,3.9,12.7,0.017,0.043,30.3,52410,12.3,56.4
0,6258,-0.1,17.8,0.004,0.019,13.8,30962,21.9,12.3
0,32748,-1.4,15.7,0.007,0.01,15.2,36356,24.6,79
0,34373,-1.9,17,0.082,0.023,20.1,35273,20.9,60.3
0,8781,0.3,17.5,0.002,0.012,16.4,45040,21.2,17.4
0,5771,-2.4,15.8,0.025,0.477,17.7,44375,20.2,6.6
0,6218,-3.8,20.2,0.004,0.068,15.6,48659,8.6,16.2
0,129590,3.3,13.9,0.028,0.053,29.5,52069,14.7,203.3
1,13166,-4.3,16.3,0.735,0.011,14.9,22186,38,15.2
0,172706,7.5,14.6,0.071,0.044,23.7,55509,10.4,303.4
1,287797,2.2,16.4,0.029,0.019,41,57461,11.4,337.2
0,113847,2.2,15.1,0.014,0.071,20.2,52061,13.5,135
0,24657,2.3,18.5,0.01,0.032,29.1,43273,14.4,30.1
0,17682,-3.1,24.5,0.011,0.103,21.3,49820,16.1,12.6
0,12520,0.5,15.6,0.085,0.041,9.4,41541,20.5,33.3
0,44638,-1.2,19.4,0.005,0.008,13.2,41262,15.3,69.3
0,1879,-6.1,26,0.008,0.544,24.2,43839,18.4,0.9
0,206655,5.9,13,0.121,0.06,40.3,68770,7.9,248.5
0,36790,2.2,21.6,0.005,0.014,23.6,50905,10.8,56.5
0,10608,12,11.3,0.003,0.027,33.4,80337,4,15.5
0,533320,2.7,16.4,0.048,0.098,24.2,56483,10.5,550.4
1,8553,-5.4,17.9,0.805,0.01,12.8,24226,32.9,14
0,39804,3.6,15.9,0.008,0.304,17.3,51908,15.8,21.1
0,61638,4.2,14.4,0.016,0.184,16.1,56005,10.8,65.4
0,17069,1,17.8,0.011,0.009,15.5,39536,19.3,97.8
0,73862,0.2,19.4,0.042,0.025,19.9,52027,9.5,76.3
1,2518638,6.4,9.7,0.231,0.393,28.6,49481,19.1,2718
0,62383,-1.7,20,0.217,0.024,13.7,42143,14.5,65.5
0,196512,8.7,15.1,0.101,0.085,27.4,54684,13.4,194.4
0,109707,1.5,17.7,0.026,0.043,31.7,56479,9.5,167.6
0,12466,-3.5,19.7,0.34,0.042,11.9,35237,22.6,29.9
1,420392,3.5,12.4,0.009,0.887,15.4,33179,34.8,456
0,59882,2.4,15.8,0.26,0.216,10.4,34433,26.3,71.7
1,25765,-4.4,16.4,0.486,0.035,10.2,33870,24.2,50.7
1,20405,-3.2,15.8,0.539,0.039,11.4,34233,25.2,37.7
0,10197,-0.6,21.2,0.008,0.02,14.9,37964,15.8,23.6
0,15311,-1.7,23.4,0.007,0.046,16.9,37680,18.3,70.4
0,933,-3.5,24.8,0.005,0.038,19.8,49125,5.9,1.4
0,6395,-0.1,22.3,0.007,0.017,14.1,40024,12.4,12.2
0,8199,-1,21.7,0.028,0.311,15,39194,16.6,7.8
0,2102,-3,23.9,0.004,0.017,19.2,31867,11.2,1.5
0,79829,2,15.9,0.058,0.072,19.4,48940,15.6,262.7
0,18291,-2.8,19.1,0.007,0.017,11.1,28645,27.5,27.6
0,4182,3.3,10.5,0.002,0.039,13.8,30880,44.2,1.6
1,42444,-1.4,19.7,0.494,0.034,17.2,30786,27.4,1002.8
1,14319,2.1,11.6,0.004,0.939,8.5,31109,34.7,14
0,169392,-0.7,19.7,0.064,0.014,21.9,49217,12.2,392.3
0,7631,-2.6,14.7,0.281,0.02,7,27115,31.7,47.2
0,2147,-4.2,30.1,0.017,0.354,18.8,31215,23.5,2.5
0,97322,1.4,21.7,0.085,0.053,20.9,39162,20.7,141.7
0,147326,6.4,17,0.004,0.043,23.3,49002,13.4,111.3
0,1825,8.6,18.5,0.008,0.027,18.3,36100,12.4,1.7
0,99175,-2.3,17.4,0.038,0.038,12.6,40516,18.7,144.6
0,132488,0.7,14.9,0.32,0.028,18.3,40930,19.9,99.9
0,11098,6,32.2,0.012,0.026,22.7,36570,16.3,62.9
0,3985,-2.3,26.6,0.006,0.063,17.2,42519,17.1,4.7
0,14214,-0.8,21.7,0.349,0.02,15.8,39068,14.9,33.8
1,217853,6.7,11.4,0.497,0.066,34.8,40496,25.6,3414.7
1,27924,-3.5,15.2,0.51,0.032,8.7,28297,30.7,60.3
0,22539,-1.1,18.4,0.262,0.044,13.1,35828,27.9,25.9
0,13170,-4.5,24,0.005,0.073,21.3,36890,19.2,4.3
0,41402,0.9,19,0.052,0.028,18.4,42904,15.1,74
0,82377,5.2,15.2,0.046,0.074,27.5,68424,7.1,189.4
0,39149,-2.1,17.9,0.088,0.253,10.2,34570,26.9,52
0,61492,4.9,14.2,0.027,0.259,17.1,48712,13.7,107.3
0,1506,1.4,21.4,0.009,0.067,23.5,47454,8.4,1.6
0,13188,-2.9,20,0.005,0.019,17.2,47384,12,20.2
0,10491,-4.7,18.4,0.499,0.022,12.9,28853,31.6,21.5
1,1231255,0.6,17.4,0.134,0.019,35.9,51366,12.9,1675.6
1,266673,6.5,8.7,0.007,0.952,17.2,39449,31.4,74.5
0,5230,0,24.7,0.004,0.022,16.3,44422,13.4,9.1
0,33906,12.1,10.2,0.154,0.063,30.6,64707,11.7,69.3
1,324122,8.2,13.9,0.011,0.111,43.8,58626,14.1,115.4
0,28829,1.9,22,0.009,0.109,16.4,39140,21.7,66.3
0,1871,1.9,18.2,0.007,0.127,21.3,51641,7.2,1
0,14465,-1.2,21.7,0.005,0.005,10.4,40573,19,32.1
0,17841,-4,20.4,0.005,0.01,18.2,42133,18.4,29.8
0,29191,3.2,10.7,0.207,0.026,20.5,60104,11.2,79.5
1,1259828,-1.6,16.4,0.303,0.054,29.7,43804,18.3,2800
0,28009,0.8,16.8,0.081,0.023,13.1,38280,18.8,53.4
0,15050,-2.3,22.6,0.005,0.029,12.9,46077,13.6,33.8
0,27862,0.8,17,0.006,0.025,15.7,48136,10.7,75.1
0,79047,4.5,14,0.285,0.033,31.2,38138,24.7,1538.2
1,175354,4.3,11.3,0.348,0.059,28.1,40718,24.3,257.9
0,72583,7.7,22.8,0.136,0.055,45.8,76960,8.7,470.4
0,32538,-1.6,15.4,0.143,0.064,15,58632,14.4,103.5
1,249283,4.7,12.8,0.043,0.038,40.5,81540,5.7,619.7
1,7194,-0.4,18.2,0.011,0.896,10.8,21865,38.3,7.7
0,15496,-2.8,20.8,0.024,0.029,17.4,43010,13.9,29.8
0,55755,0.3,15.7,0.036,0.109,23.9,47215,17.4,77.2
0,51262,-0.6,14.9,0.064,0.033,16.5,45667,19.2,31.7
1,508856,1.4,13.1,0.148,0.396,25.6,57654,16.3,2715.3
0,37333,4.5,12.4,0.322,0.076,17.9,63074,8.1,134.7
0,39187,1.4,16.3,0.007,0.018,27.6,66639,8.8,73.3
0,1710,-3.1,24.8,0.006,0.068,16.5,42639,22.1,2.1
0,12057,-2.8,18.6,0.008,0.025,16.9,40580,18.7,21
1,104691,3,12.3,0.044,0.047,49.3,51393,20.5,214
1,11089,10.9,14.3,0.017,0.859,9.2,36681,26.5,7.5
0,24453,-0.8,18.8,0.008,0.077,15.4,51444,10.8,48.8
0,38282,2.9,15.9,0.041,0.026,27.7,39677,20.1,96.6
0,43254,-2,19.7,0.014,0.043,21,44795,13.2,77.7
0,224921,2.4,15.9,0.018,0.029,37.1,69826,6.5,271.1
0,15308,-3.7,18.9,0.004,0.009,10.5,33318,20.9,48.1
0,23691,7.1,12.3,0.045,0.141,16.4,48989,15.1,24.5
0,9827,-2.3,19.3,0.322,0.024,14,40557,16.3,33.8
0,138630,0.1,16.3,0.166,0.082,17,41495,18.8,270.7
0,24976,6.1,14.9,0.061,0.037,18.4,57159,9.8,89.9
0,12368,10.4,19.8,0.01,0.024,27.7,48936,16.3,19.9
1,31127,-2.9,15,0.466,0.025,8.2,28817,31.5,79.2
0,5238,0.1,22,0.08,0.072,16.2,40375,17.9,20.4
0,19536,-1.6,12.6,0.025,0.4,21.1,38764,25.4,8.1
0,132053,-2.1,18.1,0.027,0.07,20.7,42429,19.1,127.2
1,4647,-5.5,16.1,0.696,0.017,21.1,35125,31.2,11.4
1,20106,-5.6,19.8,0.614,0.017,10.6,30768,23.4,30.4
0,7821,10,10.9,0.03,0.582,9.6,48992,12.8,8.5
0,53320,-1,15,0.041,0.023,24.2,37040,22,106
0,128220,6.2,13.6,0.032,0.195,30.2,58529,10.3,132.4
1,266353,4.1,10.5,0.042,0.575,12.6,42591,25.4,132.2
0,22186,-2.2,14.5,0.005,0.061,12.7,32556,26.4,39.6
0,38505,-1.6,12.7,0.132,0.509,9.9,35425,26.7,34
0,118836,10.6,27,0.112,0.048,25.1,46438,16.6,126.8
0,2248,-3.1,29.4,0.008,0.015,20.9,49625,10.2,5.6
0,5989,1.5,17.5,0.005,0.033,18.2,55563,7.2,11.6
1,64184,-0.7,20.6,0.021,0.191,16.2,36548,25,51.5
0,115537,0.9,16.2,0.017,0.018,20,49135,12.4,206.4
0,2935,-6.1,14.9,0.051,0.57,12.4,38650,15.1,4
1,1231393,5.8,10.9,0.222,0.051,36.4,50877,18.1,2186.1
0,11666,-0.7,22.7,0.03,0.029,14.2,36258,22.6,35.2
0,9135,0.2,17.8,0.004,0.029,24.1,56065,10.1,16.8
0,23483,-2,19.8,0.013,0.013,8.2,27766,18,37.4
0,135707,0.2,17,0.013,0.022,23.6,56067,9.1,208.6
0,860112,2.3,15.6,0.11,0.025,22.5,53451,12.5,1754.9
0,44409,23.7,9.8,0.223,0.096,12,41353,18.7,95.1
0,221659,4.1,13,0.035,0.026,37.9,72487,6.3,530
1,256380,3.7,12.5,0.205,0.091,40.5,42149,24.9,282.7
0,12092,3.4,18.7,0.006,0.03,19.7,43524,13.3,3.1
0,75817,-1,15.4,0.017,0.595,16.6,42506,23.6,71.8
0,35348,-3.8,17.2,0.02,0.009,9.2,36999,19.8,81
0,3812,3.4,17.8,0.002,0.202,16.1,46117,14.9,3.5
